trade_date,symbol,start_of_day_quantity,eligible_intraday_sell_quantity,same_day_open_quantity,same_day_add_quantity,same_day_new_lots_quantity,same_day_reduce_quantity,same_day_close_quantity,end_of_day_quantity_without_intraday,has_same_day_primary_action
20251205,000738,2100,2100,0,0,0,1000,0,1100,True
20251205,300342,2000,2000,0,900,900,1000,0,1900,True
20251205,600879,0,0,3300,0,3300,0,0,3300,True
20251205,601698,0,0,1800,0,1800,0,0,1800,True
20251205,688066,1400,1400,0,700,700,700,0,1400,True
20251205,688523,1200,1200,0,0,0,0,0,1200,False
20251205,688568,500,500,0,0,0,200,0,300,True
20251208,000738,1100,1100,0,0,0,500,0,600,True
20251208,002465,0,0,5400,0,5400,0,0,5400,True
20251208,003009,0,0,1000,0,1000,0,0,1000,True
20251208,300342,1900,1900,0,0,0,0,0,1900,False
20251208,600879,3300,3300,0,2100,2100,0,0,5400,True
20251208,601698,1800,1800,0,2200,2200,900,0,3100,True
20251208,688066,1400,1400,0,0,0,0,0,1400,False
20251208,688523,1200,1200,0,300,300,0,0,1500,True
20251208,688568,300,300,0,0,0,100,0,200,True
20251209,000738,600,600,0,0,0,300,0,300,True
20251209,002465,5400,5400,0,0,0,0,0,5400,False
20251209,003009,1000,1000,0,0,0,0,0,1000,False
20251209,300045,0,0,2900,0,2900,0,0,2900,True
20251209,300342,1900,1900,0,0,0,0,0,1900,False
20251209,600118,0,0,1400,0,1400,0,0,1400,True
20251209,600879,5400,5400,0,0,0,0,0,5400,False
20251209,601698,3100,3100,0,0,0,1500,0,1600,True
20251209,688066,1400,1400,0,0,0,700,0,700,True
20251209,688523,1500,1500,0,0,0,0,0,1500,False
20251209,688568,200,200,0,0,0,100,0,100,True
20251210,000738,300,300,0,0,0,100,0,200,True
20251210,002465,5400,5400,0,2700,2700,2700,0,5400,True
20251210,003009,1000,1000,0,0,0,0,0,1000,False
20251210,300045,2900,2900,0,0,0,0,0,2900,False
20251210,300342,1900,1900,0,0,0,0,0,1900,False
20251210,600118,1400,1400,0,0,0,0,0,1400,False
20251210,600879,5400,5400,0,2600,2600,2700,0,5300,True
20251210,601698,1600,1600,0,0,0,800,0,800,True
20251210,688066,700,700,0,0,0,300,0,400,True
20251210,688523,1500,1500,0,0,0,0,0,1500,False
20251210,688568,100,100,0,0,0,0,100,0,True
20251211,000738,200,200,0,0,0,100,0,100,True
20251211,002465,5400,5400,0,0,0,2700,0,2700,True
20251211,003009,1000,1000,0,0,0,0,0,1000,False
20251211,300045,2900,2900,0,0,0,0,0,2900,False
20251211,300342,1900,1900,0,1100,1100,0,0,3000,True
20251211,600118,1400,1400,0,0,0,0,0,1400,False
20251211,600879,5300,5300,0,0,0,0,0,5300,False
20251211,601698,800,800,0,0,0,400,0,400,True
20251211,688066,400,400,0,0,0,200,0,200,True
20251211,688523,1500,1500,0,0,0,0,0,1500,False
20251212,000738,100,100,0,0,0,0,100,0,True
20251212,002465,2700,2700,0,0,0,1300,0,1400,True
20251212,003009,1000,1000,0,0,0,0,0,1000,False
20251212,300045,2900,2900,0,0,0,0,0,2900,False
20251212,300342,3000,3000,0,0,0,0,0,3000,False
20251212,600118,1400,1400,0,0,0,0,0,1400,False
20251212,600879,5300,5300,0,0,0,0,0,5300,False
20251212,601698,400,400,0,0,0,200,0,200,True
20251212,688066,200,200,0,0,0,0,0,200,False
20251212,688523,1500,1500,0,0,0,0,0,1500,False
20251215,002465,1400,1400,0,0,0,0,0,1400,False
20251215,003009,1000,1000,0,0,0,0,0,1000,False
20251215,300045,2900,2900,0,0,0,0,0,2900,False
20251215,300342,3000,3000,0,0,0,0,0,3000,False
20251215,600118,1400,1400,0,0,0,0,0,1400,False
20251215,600879,5300,5300,0,0,0,0,0,5300,False
20251215,601698,200,200,0,0,0,0,0,200,False
20251215,688066,200,200,0,0,0,0,0,200,False
20251215,688523,1500,1500,0,0,0,0,0,1500,False
20251216,002465,1400,1400,0,0,0,0,0,1400,False
20251216,003009,1000,1000,0,0,0,0,0,1000,False
20251216,300045,2900,2900,0,0,0,0,0,2900,False
20251216,300342,3000,3000,0,0,0,0,0,3000,False
20251216,600118,1400,1400,0,0,0,0,0,1400,False
20251216,600879,5300,5300,0,0,0,0,0,5300,False
20251216,601698,200,200,0,0,0,0,0,200,False
20251216,688066,200,200,0,0,0,0,0,200,False
20251216,688523,1500,1500,0,0,0,0,0,1500,False
20251216,688568,0,0,1400,0,1400,0,0,1400,True
20251217,002465,1400,1400,0,0,0,700,0,700,True
20251217,003009,1000,1000,0,0,0,0,0,1000,False
20251217,300045,2900,2900,0,0,0,0,0,2900,False
20251217,300342,3000,3000,0,0,0,0,0,3000,False
20251217,600118,1400,1400,0,0,0,0,0,1400,False
20251217,600879,5300,5300,0,0,0,0,0,5300,False
20251217,601698,200,200,0,0,0,0,0,200,False
20251217,688066,200,200,0,2300,2300,0,0,2500,True
20251217,688523,1500,1500,0,0,0,0,0,1500,False
20251217,688568,1400,1400,0,0,0,0,0,1400,False
20251218,000738,0,0,3600,0,3600,0,0,3600,True
20251218,002465,700,700,0,0,0,0,0,700,False
20251218,003009,1000,1000,0,0,0,0,0,1000,False
20251218,300045,2900,2900,0,0,0,0,0,2900,False
20251218,300342,3000,3000,0,0,0,0,0,3000,False
20251218,600118,1400,1400,0,0,0,0,0,1400,False
20251218,600879,5300,5300,0,0,0,0,0,5300,False
20251218,601698,200,200,0,0,0,0,0,200,False
20251218,688066,2500,2500,0,0,0,0,0,2500,False
20251218,688523,1500,1500,0,0,0,0,0,1500,False
20251218,688568,1400,1400,0,0,0,0,0,1400,False
20251219,000738,3600,3600,0,1700,1700,1800,0,3500,True
20251219,002085,0,0,4600,0,4600,0,0,4600,True
20251219,002465,700,700,0,0,0,0,0,700,False
20251219,003009,1000,1000,0,0,0,0,0,1000,False
20251219,300045,2900,2900,0,0,0,0,0,2900,False
20251219,300342,3000,3000,0,0,0,0,0,3000,False
20251219,600118,1400,1400,0,0,0,0,0,1400,False
20251219,600879,5300,5300,0,0,0,0,0,5300,False
20251219,601698,200,200,0,0,0,0,0,200,False
20251219,688066,2500,2500,0,0,0,0,0,2500,False
20251219,688523,1500,1500,0,0,0,0,0,1500,False
20251219,688568,1400,1400,0,0,0,0,0,1400,False
20251222,000738,3500,3500,0,0,0,1700,0,1800,True
20251222,002085,4600,4600,0,2200,2200,2300,0,4500,True
20251222,002465,700,700,0,0,0,300,0,400,True
20251222,003009,1000,1000,0,0,0,0,0,1000,False
20251222,300045,2900,2900,0,0,0,0,0,2900,False
20251222,300342,3000,3000,0,0,0,0,0,3000,False
20251222,600118,1400,1400,0,0,0,0,0,1400,False
20251222,600879,5300,5300,0,0,0,0,0,5300,False
20251222,601698,200,200,0,0,0,0,0,200,False
20251222,688066,2500,2500,0,0,0,0,0,2500,False
20251222,688523,1500,1500,0,0,0,0,0,1500,False
20251222,688568,1400,1400,0,0,0,0,0,1400,False
20251223,000738,1800,1800,0,0,0,900,0,900,True
20251223,002085,4500,4500,0,0,0,2200,0,2300,True
20251223,002465,400,400,0,0,0,200,0,200,True
20251223,003009,1000,1000,0,0,0,0,0,1000,False
20251223,300045,2900,2900,0,0,0,0,0,2900,False
20251223,300342,3000,3000,0,0,0,0,0,3000,False
20251223,600118,1400,1400,0,0,0,0,0,1400,False
20251223,600879,5300,5300,0,0,0,0,0,5300,False
20251223,601698,200,200,0,0,0,0,0,200,False
20251223,688066,2500,2500,0,0,0,0,0,2500,False
20251223,688523,1500,1500,0,0,0,0,0,1500,False
20251223,688568,1400,1400,0,0,0,0,0,1400,False
20251224,000738,900,900,0,0,0,400,0,500,True
20251224,002085,2300,2300,0,0,0,1100,0,1200,True
20251224,002465,200,200,0,0,0,0,0,200,False
20251224,003009,1000,1000,0,0,0,0,0,1000,False
20251224,300045,2900,2900,0,0,0,0,0,2900,False
20251224,300342,3000,3000,0,0,0,0,0,3000,False
20251224,600118,1400,1400,0,0,0,0,0,1400,False
20251224,600879,5300,5300,0,0,0,0,0,5300,False
20251224,601698,200,200,0,0,0,0,0,200,False
20251224,688066,2500,2500,0,0,0,0,0,2500,False
20251224,688523,1500,1500,0,0,0,0,0,1500,False
20251224,688568,1400,1400,0,0,0,0,0,1400,False
20251225,000738,500,500,0,0,0,0,0,500,False
20251225,002085,1200,1200,0,0,0,0,0,1200,False
20251225,002465,200,200,0,0,0,0,0,200,False
20251225,003009,1000,1000,0,0,0,0,0,1000,False
20251225,300045,2900,2900,0,0,0,0,0,2900,False
20251225,300342,3000,3000,0,0,0,0,0,3000,False
20251225,600118,1400,1400,0,0,0,0,0,1400,False
20251225,600879,5300,5300,0,0,0,0,0,5300,False
20251225,601698,200,200,0,0,0,0,0,200,False
20251225,688066,2500,2500,0,0,0,0,0,2500,False
20251225,688523,1500,1500,0,0,0,0,0,1500,False
20251225,688568,1400,1400,0,0,0,0,0,1400,False
20251226,000738,500,500,0,0,0,0,0,500,False
20251226,002085,1200,1200,0,0,0,0,0,1200,False
20251226,002465,200,200,0,0,0,0,0,200,False
20251226,003009,1000,1000,0,0,0,0,0,1000,False
20251226,300045,2900,2900,0,0,0,0,0,2900,False
20251226,300342,3000,3000,0,0,0,0,0,3000,False
20251226,600118,1400,1400,0,0,0,0,0,1400,False
20251226,600879,5300,5300,0,0,0,0,0,5300,False
20251226,601698,200,200,0,0,0,0,0,200,False
20251226,688066,2500,2500,0,0,0,0,0,2500,False
20251226,688523,1500,1500,0,0,0,0,0,1500,False
20251226,688568,1400,1400,0,0,0,0,0,1400,False
20251229,000738,500,500,0,0,0,200,0,300,True
20251229,002085,1200,1200,0,0,0,600,0,600,True
20251229,002465,200,200,0,0,0,100,0,100,True
20251229,003009,1000,1000,0,0,0,0,0,1000,False
20251229,300045,2900,2900,0,0,0,0,0,2900,False
20251229,300342,3000,3000,0,0,0,0,0,3000,False
20251229,600118,1400,1400,0,0,0,0,0,1400,False
20251229,600879,5300,5300,0,0,0,0,0,5300,False
20251229,601698,200,200,0,0,0,0,0,200,False
20251229,688066,2500,2500,0,0,0,1200,0,1300,True
20251229,688523,1500,1500,0,0,0,700,0,800,True
20251229,688568,1400,1400,0,0,0,0,0,1400,False
20251230,000738,300,300,0,0,0,100,0,200,True
20251230,002085,600,600,0,0,0,300,0,300,True
20251230,002465,100,100,0,0,0,0,100,0,True
20251230,003009,1000,1000,0,0,0,0,0,1000,False
20251230,300045,2900,2900,0,0,0,0,0,2900,False
20251230,300342,3000,3000,0,0,0,0,0,3000,False
20251230,600118,1400,1400,0,0,0,0,0,1400,False
20251230,600879,5300,5300,0,0,0,0,0,5300,False
20251230,601698,200,200,0,0,0,0,0,200,False
20251230,688066,1300,1300,0,0,0,600,0,700,True
20251230,688523,800,800,0,0,0,400,0,400,True
20251230,688568,1400,1400,0,0,0,0,0,1400,False
20251231,000738,200,200,0,0,0,100,0,100,True
20251231,002085,300,300,0,0,0,100,0,200,True
20251231,003009,1000,1000,0,0,0,0,0,1000,False
20251231,300045,2900,2900,0,0,0,0,0,2900,False
20251231,300342,3000,3000,0,0,0,0,0,3000,False
20251231,600118,1400,1400,0,0,0,0,0,1400,False
20251231,600879,5300,5300,0,0,0,0,0,5300,False
20251231,601698,200,200,0,0,0,0,0,200,False
20251231,688066,700,700,0,0,0,300,0,400,True
20251231,688523,400,400,0,0,0,200,0,200,True
20251231,688568,1400,1400,0,0,0,0,0,1400,False
20260105,000738,100,100,0,0,0,0,0,100,False
20260105,002085,200,200,0,0,0,0,0,200,False
20260105,003009,1000,1000,0,0,0,0,0,1000,False
20260105,300045,2900,2900,0,0,0,0,0,2900,False
20260105,300342,3000,3000,0,0,0,0,0,3000,False
20260105,600118,1400,1400,0,0,0,0,0,1400,False
20260105,600879,5300,5300,0,0,0,0,0,5300,False
20260105,601698,200,200,0,0,0,0,0,200,False
20260105,688066,400,400,0,0,0,0,0,400,False
20260105,688523,200,200,0,0,0,0,0,200,False
20260105,688568,1400,1400,0,0,0,0,0,1400,False
20260106,000738,100,100,0,0,0,0,100,0,True
20260106,002085,200,200,0,0,0,100,0,100,True
20260106,003009,1000,1000,0,0,0,0,0,1000,False
20260106,300045,2900,2900,0,0,0,0,0,2900,False
20260106,300342,3000,3000,0,0,0,0,0,3000,False
20260106,600118,1400,1400,0,0,0,0,0,1400,False
20260106,600879,5300,5300,0,0,0,0,0,5300,False
20260106,601698,200,200,0,0,0,0,0,200,False
20260106,688066,400,400,0,0,0,200,0,200,True
20260106,688523,200,200,0,0,0,100,0,100,True
20260106,688568,1400,1400,0,0,0,0,0,1400,False
20260107,002085,100,100,0,0,0,0,0,100,False
20260107,003009,1000,1000,0,0,0,0,0,1000,False
20260107,300045,2900,2900,0,0,0,0,0,2900,False
20260107,300342,3000,3000,0,0,0,0,0,3000,False
20260107,600118,1400,1400,0,0,0,0,0,1400,False
20260107,600879,5300,5300,0,0,0,0,0,5300,False
20260107,601698,200,200,0,0,0,0,0,200,False
20260107,688066,200,200,0,0,0,0,0,200,False
20260107,688523,100,100,0,0,0,0,0,100,False
20260107,688568,1400,1400,0,0,0,0,0,1400,False
20260108,002085,100,100,0,0,0,0,100,0,True
20260108,003009,1000,1000,0,0,0,0,0,1000,False
20260108,300045,2900,2900,0,0,0,0,0,2900,False
